City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Hyderabad,suv,manual,1,white,118,diesel,2016,6.73258,Mahindra-TUV300
Hyderabad,hatchback,manual,1,red,51,petrol,2019,6.28,Hyundai-Grand i10 Nios
Hyderabad,suv,manual,1,grey,7,petrol,2020,10.39,Hyundai-Venue
Hyderabad,hatchback,manual,1,silver,96,petrol,2012,3.01361,Honda-Brio
Hyderabad,hatchback,manual,2,white,96,diesel,2016,3.98468,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,2,brown,39,petrol,2011,2.87,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,grey,87,diesel,2014,5.94,Hyundai-Elite i20
Hyderabad,hatchback,manual,1,grey,105,diesel,2014,5.54,Hyundai-Elite i20
Hyderabad,suv,manual,1,silver,23,petrol,2021,13.72493,Volkswagen-Taigun
Hyderabad,hatchback,automatic,2,grey,61,petrol,2016,4.21616,Maruti Suzuki-Wagon R 1.0
Hyderabad,hatchback,manual,1,white,128,diesel,2015,5.29,Hyundai-Elite i20
Hyderabad,suv,automatic,1,grey,95,petrol,2019,8.75,Honda-BR-V
Hyderabad,suv,manual,1,black,113,diesel,2020,9.32,Kia-Sonet
Hyderabad,hatchback,automatic,1,bronze,53,petrol,2018,3.99,Renault-Kwid
Hyderabad,hatchback,automatic,1,grey,16,petrol,2020,6.89,Maruti Suzuki-Swift
Hyderabad,suv,manual,1,white,10,petrol,2021,8.97,Hyundai-Venue
Hyderabad,hatchback,manual,1,blue,41,petrol,2014,3.56,Hyundai-Santro Xing
Hyderabad,suv,manual,1,white,82,diesel,2017,10.56,Hyundai-Creta
Hyderabad,suv,automatic,2,grey,81,diesel,2021,19.00237,Tata-Safari
Hyderabad,suv,automatic,1,white,39,diesel,2021,21.39,Tata-Safari
Hyderabad,hatchback,automatic,1,blue,56,petrol,2018,6.48,Maruti Suzuki-Baleno
Hyderabad,hatchback,manual,2,red,69,petrol,2012,2.37,Maruti Suzuki-Alto K10
Hyderabad,crossover,manual,1,black,121,diesel,2016,6.39,Hyundai-i20 Active
Hyderabad,hatchback,manual,2,grey,87,petrol,2015,3.49,Hyundai-i10
Hyderabad,hatchback,manual,2,white,110,petrol,2013,2.80844,Maruti Suzuki-Ritz
Hyderabad,hatchback,manual,1,grey,126,petrol,2016,2.72,Renault-Kwid
Hyderabad,hatchback,manual,1,white,35,petrol,2018,3.9,Renault-Kwid
Hyderabad,suv,manual,1,red,55,petrol,2019,8.34185,Tata-Nexon
Hyderabad,hatchback,automatic,1,blue,24,petrol,2020,4.7,Renault-Kwid
Hyderabad,suv,manual,1,silver,51,petrol,2019,14.1,Kia-Seltos
Hyderabad,suv,automatic,1,silver,23,petrol,2022,19.73345,Mahindra-XUV700
Hyderabad,hatchback,manual,1,blue,52,petrol,2017,6.48,Hyundai-Elite i20
Hyderabad,hatchback,automatic,1,brown,23,petrol,2018,4.52,Renault-Kwid
Hyderabad,hatchback,manual,1,grey,59,petrol,2018,5.68,Hyundai-Grand i10
