City,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price,Make_Model
Delhi,hatchback,manual,1,B RED,120,petrol,2011,2.72,Maruti Suzuki-Swift
Chennai,suv,automatic,1,blue,27,petrol,2022,8.33688,Renault-Kiger
Pune,suv,manual,1,grey,16,petrol,2016,5.81857,Renault-Duster
Bangalore,sedan,manual,1,red,91,diesel,2015,4.67,Ford-Figo Aspire
Chennai,suv,manual,1,grey,103,diesel,2019,7.32599,Honda-WR-V
Bangalore,crossover,manual,1,grey,54,petrol,2016,4.32,Mahindra-KUV100
Chennai,suv,manual,1,orange,10,petrol,2022,8.88448,Renault-Kiger
Bangalore,sedan,manual,1,red,103,petrol,2014,4.02258,Hyundai-Xcent
Hyderabad,sedan,manual,1,grey,89,petrol,2014,4.56236,Honda-Amaze
Pune,suv,manual,1,grey,27,petrol,2018,11.32,Hyundai-Creta
Delhi,hatchback,manual,1,white,81,petrol,2014,2.79,Hyundai-i10
Bangalore,hatchback,manual,1,red,78,diesel,2016,4.75,Tata-Tiago
Kolkata,sedan,manual,1,grey,64,petrol,2013,2.84,Toyota-Etios
Bangalore,muv,manual,1,yellow,7,petrol,2023,8.39,Renault-Triber
Bangalore,hatchback,automatic,2,red,24,petrol,2015,3.3048,Maruti Suzuki-Alto K10
Pune,sedan,manual,1,white,81,diesel,2017,8.82,Hyundai-Fluidic Verna 4S
