Id,City,Make,Model,Body_type,Transmission,No_of_owners,color,Milleage,Fuel_type,Make_year,Price
9800982,Gurgaon,Audi,A4,sedan,automatic,1,black,63K,petrol,2016,2290000.0
12884833,Faridabad,Jeep,Compass,suv,automatic,1,black,54K,petrol,2019,1325000.0
11584069,Noida,BMW,X1,suv,automatic,1,white,80K,diesel,2017,2090000.0
11079931,Delhi,Hyundai,Creta,suv,manual,1,white,53K,petrol,2016,823000.0
10899528,Noida,Hyundai,Creta,suv,manual,1,RED PASSION,34K,petrol,2016,829000.0
10611380,Delhi,Hyundai,Creta,suv,automatic,1,white,44K,petrol,2016,913000.0
10597352,Delhi,Honda,WR-V,suv,manual,1,red,53K,petrol,2017,645000.0
11228411,Ghaziabad,Hyundai,Creta,suv,manual,1,grey,29K,petrol,2018,978000.0
12387342,Delhi,Hyundai,Grand i10,hatchback,manual,1,silver,29K,petrol,2017,494265.0
9426398,Delhi,Maruti Suzuki,S-Cross,suv,manual,1,blue,34K,diesel,2019,793000.0
11935844,Noida,Kia,Seltos,suv,manual,1,white,18K,petrol,2020,1291648.0
13135528,Noida,Kia,Seltos,suv,manual,1,black,15K,petrol,2023,1592000.0
12971047,Noida,Toyota,Corolla Altis,sedan,manual,1,golden,45K,petrol,2017,1095000.0
8325791,Delhi,Hyundai,Tucson,suv,manual,1,red,70K,petrol,2017,1241095.0
13111398,Delhi,Tata,Punch,suv,manual,1,grey,6K,petrol,2023,592000.0
10600450,Ghaziabad,Tata,Nexon,suv,manual,1,FLAME_RED,52K,petrol,2020,835000.0
11564647,Noida,Ford,Endeavour,suv,automatic,1,silver,50K,diesel,2019,2862159.0
11528723,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,red,5K,petrol,2019,692000.0
12905376,Ghaziabad,Kia,Sonet,suv,automatic,1,red,24K,diesel,2022,1378000.0
12315625,Delhi,Tata,Altroz,hatchback,manual,1,white,22K,petrol,2022,684000.0
9356510,Noida,Jeep,Compass,suv,automatic,1,grey,34K,petrol,2018,1290000.0
12439186,Ghaziabad,Hyundai,i20 N Line,hatchback,automatic,1,blue,11K,petrol,2022,1176448.0
12932197,Delhi,Maruti Suzuki,Swift,hatchback,manual,1,silver,81K,petrol,2016,446765.0
11246799,Noida,Nissan,Kicks,suv,manual,1,white,91K,diesel,2019,776000.0
12949536,Delhi,Hyundai,Grand i10,hatchback,manual,1,white,85K,petrol,2013,312237.0
12837542,Delhi,Hyundai,Grand i10,hatchback,manual,2,silver,53K,petrol,2015,368000.0
12870824,Noida,Maruti Suzuki,Baleno,hatchback,manual,2,grey,45K,petrol,2016,425480.0
10490047,Delhi,Maruti Suzuki,Baleno,hatchback,manual,1,grey,51K,petrol,2018,511000.0
12302500,Delhi,Maruti Suzuki,Swift,hatchback,manual,1,silver,93K,petrol,2012,285000.0
12960248,Delhi,Honda,City,sedan,manual,1,silver,65K,petrol,2014,517003.0
9817185,Delhi,Volkswagen,Polo,hatchback,manual,1,blue,39K,petrol,2011,292000.0
10330007,Ghaziabad,Hyundai,Elite i20,hatchback,manual,1,white,65K,petrol,2016,512000.0
12682246,Delhi,Hyundai,Venue,suv,automatic,1,silver,94K,petrol,2019,845000.0
10888763,Delhi,Hyundai,Grand i10,hatchback,manual,1,WINE RED,50K,petrol,2014,364000.0
12694846,Delhi,Maruti Suzuki,Swift,hatchback,manual,1,silver,81K,petrol,2012,299823.0
10890021,Ghaziabad,Renault,Duster,suv,automatic,1,MOONLIGHT SILVER,71K,diesel,2018,685000.0
